name,playcount,listeners,mbid,url,streamable,tags
Lupe Fiasco,43845177,2139744,cf15719f-51f9-4db8-a15d-5eed9664ce69,https://www.last.fm/music/Lupe+Fiasco,0,"Hip-Hop, rap, hip hop"
Sigur Rós,134208801,2136828,f6f2326f-6b25-4170-b89d-e235b25508e8,https://www.last.fm/music/Sigur+R%C3%B3s,0,"post-rock, ambient, icelandic"
Lynyrd Skynyrd,34987184,2097787,c544ed4d-2390-4442-a83e-1ea2883b09c8,https://www.last.fm/music/Lynyrd+Skynyrd,0,"classic rock, Southern Rock, rock"
Breaking Benjamin,81461083,2094194,854a1807-025b-42a8-ba8c-2a39717f1d25,https://www.last.fm/music/Breaking+Benjamin,0,"alternative rock, rock, hard rock"
Nelly,19648438,2093443,811900b2-68fc-4d41-8bad-69b7a1f4d628,https://www.last.fm/music/Nelly,0,"Hip-Hop, rap, rnb"
Counting Crows,38044353,2086755,a0327dc2-dc76-44d5-aec6-47cd2dff1469,https://www.last.fm/music/Counting+Crows,0,"rock, alternative, alternative rock"
Röyksopp,77688423,2085671,1c70a3fc-fa3c-4be1-8b55-c3192db8a884,https://www.last.fm/music/R%C3%B6yksopp,0,"electronic, chillout, ambient"
Michael Bublé,57000864,2051853,611700cf-27f0-4dc9-ae80-c513a767853e,https://www.last.fm/music/Michael+Bubl%C3%A9,0,"jazz, swing, easy listening"
Feist,70524387,2047483,f463a056-ae06-445b-bab2-449b11482bf2,https://www.last.fm/music/Feist,0,"female vocalists, indie, singer-songwriter"
Timbaland,31718606,2044604,daa09819-5da5-4c7a-8bef-eb372bb27ff1,https://www.last.fm/music/Timbaland,0,"Hip-Hop, rnb, rap"
Train,30289318,2044595,e273f427-3287-472d-84fe-1a9f2f91e5e2,https://www.last.fm/music/Train,0,"rock, alternative rock, alternative"
Fatboy Slim,35644592,2042131,ba81eb4a-0c89-489f-9982-0154b8083a28,https://www.last.fm/music/Fatboy+Slim,0,"electronic, big beat, dance"
Soundgarden,51516876,2036708,153c9281-268f-4cf3-8938-f5a4593e5df4,https://www.last.fm/music/Soundgarden,0,"Grunge, rock, alternative rock"
Ne-Yo,28238075,2032482,,https://www.last.fm/music/Ne-Yo,0,"rnb, soul, Hip-Hop"
Ludacris,21048611,2029965,0638ba22-040f-438d-83a5-9b670c4adaf5,https://www.last.fm/music/Ludacris,0,"rap, Hip-Hop, Dirty South"
Fergie,24869242,2029800,4f9675d2-f6d5-486c-9b26-33dcca998500,https://www.last.fm/music/Fergie,0,"pop, rnb, female vocalists"
Bob Marley,64094052,2019564,ed2ac1e9-d51d-4eff-a2c2-85e81abd6360,https://www.last.fm/music/Bob+Marley,0,"reggae, roots reggae, Bob Marley"
Dido,40025595,2017211,d1353a0c-26fb-4318-a116-defde9c7c9ad,https://www.last.fm/music/Dido,0,"pop, female vocalists, singer-songwriter"
Destiny's Child,26223489,2013775,a796b92e-c137-4895-9c89-10f900617a4f,https://www.last.fm/music/Destiny%27s+Child,0,"rnb, pop, female vocalists"
Robbie Williams,46304666,2004341,db4624cf-0e44-481e-a9dc-2142b833ec2f,https://www.last.fm/music/Robbie+Williams,0,"pop, britpop, british"
Ludwig van Beethoven,40156038,2004129,1f9df192-a621-4f54-8850-2c5373b7eac9,https://www.last.fm/music/Ludwig+van+Beethoven,0,"Classical, instrumental, composers"
Cream,27900447,2002140,be212372-2e70-429a-bd5c-86239716edc4,https://www.last.fm/music/Cream,0,"classic rock, blues rock, rock"
